brawler1,brawler2,brawler3,picks,wr,map
ANGELO,MAX,PIPER,10,0.3,dry_season
GUS,MEEPLE,OLLIE,10,0.7,dry_season
BEA,GENE,GUS,10,0.5,dry_season
BUSTER,GENE,MAX,10,0.2,dry_season
ANGELO,MANDY,MAX,10,0.2,dry_season
BYRON,GRAY,GUS,10,0.7,dry_season
JANET,MANDY,PIPER,10,0.4,dry_season
BROCK,GRAY,MAX,10,0.6,dry_season
JANET,MEEPLE,PIPER,10,0.5,dry_season
GUS,MR. P,OLLIE,10,0.5,dry_season
GRAY,JANET,SQUEAK,10,0.2,dry_season
BELLE,GRAY,MAX,10,0.8,dry_season
GUS,MR. P,TICK,10,0.5,dry_season
LEON,MANDY,MEEPLE,10,0.3,dry_season
GENE,LOU,MANDY,10,0,dry_season
CARL,GENE,KENJI,10,0.7,dry_season
LEON,MELODIE,PIPER,10,0.5,dry_season
ANGELO,GENE,MEEPLE,10,0.5,dry_season
NANI,PIPER,SPROUT,10,0.6,dry_season
BELLE,GRAY,MELODIE,10,0.8,dry_season
DARRYL,GRAY,GUS,10,0.7,dry_season
BROCK,MEEPLE,OLLIE,10,0.3,dry_season
GENE,JUJU,LOU,10,0.2,dry_season
CARL,R-T,SQUEAK,10,0.8,dry_season
ANGELO,BROCK,MELODIE,10,0.6,dry_season
BROCK,CARL,MR. P,10,0.6,dry_season
BROCK,GRAY,HANK,10,0.8,dry_season
MANDY,PENNY,TICK,10,0.5,dry_season
BELLE,SPROUT,SQUEAK,10,0.8,dry_season
BROCK,HANK,SQUEAK,10,0.8,dry_season
CARL,GRAY,SPROUT,10,0.6,dry_season
ANGELO,BYRON,OLLIE,10,0.7,dry_season
GENE,HANK,MEEPLE,10,0.8,dry_season
GRAY,JANET,SPROUT,10,0.7,dry_season
GRAY,MORTIS,SQUEAK,10,0.8,dry_season
ANGELO,MAX,SQUEAK,10,1,dry_season
BEA,CARL,GENE,10,0.3,dry_season
GRAY,MORTIS,MR. P,10,0.6,dry_season
BELLE,GUS,TICK,10,0.7,dry_season
CARL,GUS,JUJU,10,0.6,dry_season
LEON,OLLIE,SQUEAK,10,0.8,dry_season
ANGELO,MANDY,MR. P,10,0.8,dry_season
GUS,HANK,JUJU,10,0.8,dry_season
BEA,GRAY,R-T,10,0.5,dry_season
ANGELO,MR. P,PENNY,10,0.3,dry_season
BELLE,GUS,OLLIE,10,0.4,dry_season
DARRYL,GENE,JUJU,10,0.6,dry_season
GRAY,HANK,OLLIE,10,1,dry_season
GUS,LEON,MELODIE,10,0.2,dry_season
BYRON,CARL,PIPER,10,0.3,dry_season
FANG,GRAY,PIPER,10,0.7,dry_season
GENE,GUS,ROSA,10,0.6,dry_season
MANDY,MEEPLE,OLLIE,10,0.8,dry_season
MANDY,MELODIE,TICK,10,0.7,dry_season
BROCK,CARL,SPROUT,10,0.4,dry_season
GENE,KENJI,MAX,10,0.8,dry_season
CARL,PEARL,PIPER,10,0.4,dry_season
CARL,GRAY,JANET,10,1,dry_season
GRAY,MORTIS,OLLIE,10,0.8,dry_season
BELLE,R-T,SQUEAK,10,0.8,dry_season
DARRYL,GRAY,SQUEAK,10,0.6,dry_season
ANGELO,BROCK,R-T,10,0.6,dry_season
GENE,MELODIE,R-T,10,0.6,dry_season
ANGELO,CARL,OLLIE,10,0.8,dry_season
BELLE,MEEPLE,MORTIS,10,0.4,dry_season
LILY,PIPER,TICK,10,0,dry_season
HANK,JUJU,MAX,10,0.6,dry_season
GRAY,PENNY,TICK,10,0.6,dry_season
CARL,GRAY,MR. P,10,0.6,dry_season
MANDY,NANI,PENNY,10,0.4,dry_season
BELLE,DARRYL,GRAY,10,0.4,dry_season
CARL,MR. P,NANI,10,1,dry_season
BELLE,LEON,TICK,10,0.2,dry_season
BYRON,GUS,LEON,10,0.6,hideout
GENE,HANK,LEON,10,0.4,hideout
CARL,GRAY,NANI,10,0.2,hideout
LOU,MR. P,PIPER,10,0.7,hideout
BYRON,LEON,SQUEAK,10,0.4,hideout
BELLE,NANI,SQUEAK,10,0.2,hideout
MICO,NANI,PIPER,10,0.6,hideout
BELLE,GUS,JUJU,10,0.3,hideout
NANI,OLLIE,R-T,10,0.6,hideout
ANGELO,PENNY,R-T,10,0.5,hideout
ANGELO,HANK,PIPER,10,0.7,hideout
ANGELO,GUS,MORTIS,10,0.8,hideout
GROM,NANI,PIPER,10,0.6,hideout
BEA,LOU,NANI,10,0.3,hideout
BELLE,GENE,OLLIE,10,0.6,hideout
ANGELO,CARL,GUS,10,0.5,hideout
BUSTER,NANI,PIPER,10,0.8,hideout
ANGELO,MAX,MELODIE,10,0.5,hideout
JANET,LEON,PIPER,10,0.7,hideout
BROCK,GENE,MR. P,10,0.6,hideout
GRAY,HANK,R-T,10,0.5,hideout
ANGELO,MELODIE,PEARL,10,0.6,hideout
BYRON,PIPER,SQUEAK,10,0.4,hideout
BYRON,JUJU,PIPER,10,0.4,hideout
ANGELO,MR. P,R-T,10,0.8,hideout
ANGELO,BYRON,CARL,10,0.7,hideout
HANK,MANDY,PIPER,10,1,hideout
ANGELO,LEON,SQUEAK,10,0.7,hideout
JANET,MANDY,PIPER,10,0.6,hideout
BEA,BELLE,LEON,10,0.8,hideout
DARRYL,NANI,PIPER,10,0.4,hideout
BELLE,GENE,PENNY,10,0.6,hideout
BELLE,MAX,OLLIE,10,1,hideout
GUS,MORTIS,MR. P,10,0.3,hideout
CARL,GRAY,SPROUT,10,0.2,hideout
MAX,NANI,TICK,10,0.7,hideout
BELLE,MAX,R-T,10,0.8,hideout
BYRON,HANK,R-T,10,1,hideout
BEA,MAX,PIPER,10,0.6,hideout
BEA,GUS,LEON,10,0.5,hideout
ANGELO,MAX,R-T,10,0.6,hideout
GUS,PIPER,TICK,10,0.5,hideout
MAX,MELODIE,NANI,10,0.4,hideout
ANGELO,BROCK,HANK,10,0.2,hideout
GROM,GUS,NANI,10,0.7,hideout
BROCK,GENE,MELODIE,10,0.7,hideout
GRAY,GUS,PENNY,10,0.7,hideout
BROCK,LOU,PIPER,10,0.4,hideout
ANGELO,BROCK,OLLIE,10,0.6,hideout
COLT,LEON,PIPER,10,0.3,hideout
BELLE,GENE,MEEPLE,10,0.8,hideout
JUJU,OLLIE,PIPER,10,0.8,hideout
COLT,GUS,PIPER,10,0.7,hideout
GRAY,HANK,MR. P,10,0.6,hideout
CARL,PIPER,SPROUT,10,0.6,hideout
ANGELO,BYRON,R-T,10,0.3,hideout
GRAY,JANET,MANDY,10,0.4,hideout
MANDY,MAX,MR. P,10,0.6,hideout
BELLE,BROCK,CARL,10,0.4,hideout
BEA,MANDY,PIPER,10,0.4,hideout
ANGELO,JANET,PIPER,10,1,hideout
FANG,GUS,PIPER,10,0.5,hideout
GRAY,MAX,MR. P,10,0.7,hideout
LEON,NANI,OLLIE,10,0.6,hideout
8-BIT,GENE,PIPER,10,0.6,hideout
BELLE,GENE,MELODIE,10,0.8,hideout
EVE,GENE,PIPER,10,0.4,hideout
BYRON,GUS,MELODIE,10,0.3,hideout
HANK,MAX,NANI,10,0.6,hideout
BROCK,DARRYL,MANDY,10,0.6,layer_cake
ANGELO,JANET,TICK,10,0.6,layer_cake
JANET,KIT,MELODIE,10,0.2,layer_cake
CARL,JANET,MR. P,10,0.4,layer_cake
CARL,HANK,KIT,10,0.8,layer_cake
MANDY,R-T,SQUEAK,10,0.5,layer_cake
GROM,MR. P,R-T,10,0.6,layer_cake
GENE,HANK,MELODIE,10,0.4,layer_cake
BROCK,LOU,PENNY,10,0.4,layer_cake
BARLEY,JANET,SQUEAK,10,0.8,layer_cake
GRAY,LEON,TICK,10,1,layer_cake
BYRON,HANK,PIPER,10,0.6,layer_cake
GRAY,MR. P,SPROUT,10,0.4,layer_cake
GRAY,PEARL,SQUEAK,10,0.5,layer_cake
JANET,R-T,TICK,10,1,layer_cake
KENJI,OLLIE,SPROUT,10,0.2,layer_cake
ANGELO,JANET,SPROUT,10,0.4,layer_cake
LOU,MANDY,TICK,10,0.4,layer_cake
CARL,GROM,PIPER,10,0.6,layer_cake
CARL,MR. P,TICK,10,0.6,layer_cake
MANDY,MICO,PENNY,10,0.3,layer_cake
BROCK,GROM,MANDY,10,0.6,layer_cake
MORTIS,OLLIE,PENNY,10,0.8,layer_cake
GENE,HANK,MORTIS,10,0.6,layer_cake
KENJI,PIPER,SQUEAK,10,0.4,layer_cake
LOU,MORTIS,PENNY,10,0.6,layer_cake
GENE,R-T,SPROUT,10,0.6,layer_cake
GRAY,KENJI,PIPER,10,0.7,layer_cake
GRAY,HANK,LARRY & LAWRIE,10,0.6,layer_cake
GRAY,OLLIE,SHADE,10,0.4,layer_cake
